community_district,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Bronx_10,124045,122417,122586,121313,119645
Bronx_102,158830,161319,161041,158185,156731
Bronx_11,130836,129501,129590,129333,126733
Bronx_12,143158,144341,147447,148712,151305
Bronx_306,170324,171849,174875,171832,171842
Bronx_4,141348,141055,144614,142071,141400
Bronx_5,135594,136982,140324,137655,139656
Bronx_7,128610,129955,133339,132075,132128
Bronx_8,109425,109810,111182,109781,109938
Bronx_9,186187,189556,190848,186915,185690
Brooklyn_1,153557,157433,160799,161365,162743
Brooklyn_10,129717,125011,124851,123075,122743
Brooklyn_11,189387,189076,191977,189369,189058
Brooklyn_12,165372,164842,164461,158688,154796
Brooklyn_13,107818,109876,114207,114051,113480
Brooklyn_14,161205,162030,164081,161520,157511
Brooklyn_15,149519,150931,154037,151596,151100
Brooklyn_16,125747,123596,121459,117055,116334
Brooklyn_17,136530,138643,138044,135277,134970
Brooklyn_18,208145,208920,211993,208458,205631
Brooklyn_2,131889,135679,139203,141306,142235
Brooklyn_3,139904,142689,145259,147107,149313
Brooklyn_4,136730,135837,135515,129976,129193
Brooklyn_5,154119,155735,158784,158774,161273
Brooklyn_6,115910,116344,118940,118497,117784
Brooklyn_7,152612,151258,149960,143847,140195
Brooklyn_8,125410,127627,131395,131224,134083
Brooklyn_9,111688,111325,110156,109562,107532
Manhattan_10,131891,135967,138401,137181,136089
Manhattan_102,153267,155488,157712,154636,155694
Manhattan_11,121669,122550,125720,124541,121892
Manhattan_12,216535,218698,221929,219657,216591
Manhattan_3,163970,160709,159652,154995,154554
Manhattan_405,149404,149309,152195,154496,158185
Manhattan_6,146468,146750,148802,146915,148806
Manhattan_7,194449,193715,195455,195143,194145
Manhattan_8,220697,221922,222517,215449,214957
Manhattan_9,131157,129881,131494,129467,131080
Queens_1,173828,172468,173656,166962,163960
Queens_10,136623,137073,138868,136661,132943
Queens_11,121032,119917,121139,119789,118237
Queens_12,236745,239699,244302,238619,237303
Queens_13,199745,200852,205640,202700,202745
Queens_14,118917,121517,123012,125898,128437
Queens_2,138596,139088,138893,137417,135380
Queens_3,183644,180562,180187,172664,171657
Queens_4,143434,142289,143228,140243,139682
Queens_5,170817,174240,181598,183687,186568
Queens_6,114489,114637,116607,116052,115881
Queens_7,250097,250162,252138,245862,242631
Queens_8,160025,162548,165028,163251,164041
Queens_9,153164,154987,155032,148806,148027
StatenIsland_1,172382,172369,173491,171894,171983
StatenIsland_2,133508,135323,136859,136950,138286
StatenIsland_3,166591,165632,165598,165257,164624
